frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
26,6.46,6.53,2.93,2.94,6.15,1.85,11.06,0.03,0.241,-0.25
27,6.44,6.5,2.98,2.97,6.18,1.7,10.89,0.02,0.259,-0.25
28,6.46,6.55,3.08,3.09,6.1,1.74,10.92,0.02,0.251,-0.26
29,6.44,6.53,3.04,3.05,6.2,1.76,10.67,0.02,0.254,-0.25
30,6.45,6.54,2.93,2.94,6.04,1.72,10.63,0.0,0.265,-0.25
31,6.45,6.55,2.93,2.95,6.13,1.65,10.64,0.0,0.266,-0.25
32,6.49,6.59,2.99,3.0,6.09,1.71,10.67,0.0,0.271,-0.25
33,6.51,6.58,2.88,2.93,6.09,1.62,10.6,0.02,0.255,-0.24
34,6.51,6.6,2.82,2.88,6.12,1.61,10.54,0.04,0.247,-0.24
35,6.46,6.54,2.9,2.97,6.15,1.72,10.53,0.03,0.254,-0.23
36,6.54,6.63,2.71,2.8,6.03,1.69,10.58,0.05,0.238,-0.2
37,6.47,6.53,2.83,2.91,5.98,1.66,10.63,0.04,0.23,-0.18
38,6.64,6.68,2.67,2.73,5.86,1.71,10.69,0.06,0.215,-0.14
39,6.77,6.8,2.66,2.69,5.88,1.78,10.88,0.06,0.204,-0.11
40,6.79,6.84,2.66,2.63,6.06,1.83,10.57,0.06,0.204,-0.08
41,7.01,7.03,2.44,2.35,5.97,1.98,10.57,0.06,0.191,-0.05
42,6.93,6.94,2.78,2.69,6.01,1.94,10.66,0.06,0.169,-0.01
43,6.93,6.94,2.78,2.69,6.01,1.94,10.66,0.06,0.169,-0.01
44,7.09,7.09,2.61,2.49,6.05,2.11,10.96,0.06,0.15,0.05
45,7.05,7.06,2.95,2.84,6.01,1.98,11.42,0.06,0.121,0.11
46,7.23,7.22,2.95,2.81,5.95,2.22,11.43,0.07,0.089,0.17
47,7.24,7.22,2.96,2.78,5.92,2.31,12.04,0.09,0.08,0.23
48,7.16,7.13,3.18,3.04,6.04,2.08,12.42,0.07,0.059,0.34
49,7.16,7.13,3.18,3.04,6.04,2.08,12.42,0.07,0.059,0.34
50,7.04,7.01,3.15,3.06,6.12,2.13,12.93,0.01,0.022,0.38
51,6.97,6.94,3.02,2.97,6.23,2.11,12.81,-0.04,0.004,0.39
52,6.89,6.85,3.01,3.0,6.3,2.13,12.85,-0.06,-0.011,0.4
53,6.98,6.93,2.87,2.87,6.23,2.08,12.56,-0.09,-0.029,0.4
54,6.88,6.81,3.06,3.07,6.16,2.14,12.45,-0.09,-0.032,0.39
55,6.95,6.9,2.97,2.99,6.21,2.16,12.55,-0.08,-0.027,0.39
56,6.94,6.88,3.01,3.04,6.19,2.16,12.49,-0.09,-0.014,0.38
57,6.84,6.79,3.02,3.05,6.24,2.33,12.52,-0.09,0.004,0.36
58,6.85,6.79,2.97,3.02,6.29,2.27,12.64,-0.1,0.015,0.35
59,6.8,6.76,2.92,3.0,6.31,2.27,12.59,-0.12,0.031,0.33
60,6.73,6.68,2.91,3.01,6.2,2.37,12.49,-0.13,0.06,0.3
61,6.91,6.86,2.75,2.85,6.19,2.36,12.31,-0.11,0.128,0.22
62,6.91,6.86,2.75,2.85,6.19,2.36,12.31,-0.11,0.128,0.22
63,8.4,8.39,2.13,2.23,5.92,2.49,12.05,-0.1,0.196,0.13
64,7.56,7.56,2.58,2.69,6.04,2.19,11.89,-0.12,0.23,0.09
65,7.56,7.56,2.58,2.69,6.04,2.19,11.89,-0.12,0.23,0.09
66,6.78,6.78,2.6,2.64,6.03,1.91,11.41,-0.12,0.291,-0.03
67,6.62,6.65,2.75,2.75,6.01,1.68,11.23,-0.1,0.319,-0.08
68,6.42,6.48,2.74,2.73,6.12,1.53,10.9,-0.07,0.333,-0.12
69,6.44,6.51,2.74,2.72,6.14,1.44,10.9,-0.08,0.354,-0.14
70,6.11,6.1,2.85,2.83,6.87,1.93,12.82,-0.06,0.347,-0.13
71,6.17,6.17,2.71,2.69,6.95,1.87,12.78,-0.04,0.352,-0.14
72,6.22,6.22,2.96,2.94,6.93,1.78,12.89,0.01,0.355,-0.14
73,6.32,6.32,2.73,2.7,6.9,1.82,12.94,0.04,0.365,-0.14
74,6.27,6.26,2.81,2.79,6.87,1.76,12.93,0.03,0.371,-0.14
75,6.18,6.18,3.03,3.01,6.96,1.71,13.06,0.01,0.34,-0.14
76,6.56,6.64,3.08,3.14,6.21,1.43,11.85,-0.06,0.327,-0.14
77,6.52,6.56,3.11,3.16,6.13,1.34,11.6,-0.09,0.326,-0.14
78,6.64,6.69,2.91,2.96,6.1,1.44,11.7,-0.08,0.308,-0.14
79,6.73,6.79,2.9,2.95,6.11,1.27,11.79,-0.05,0.274,-0.13
80,6.63,6.73,2.95,3.02,6.09,1.7,12.15,-0.03,0.238,-0.12
81,6.73,6.84,2.9,2.96,6.12,1.78,12.26,-0.02,0.208,-0.12
82,6.86,6.95,2.8,2.82,6.15,1.8,12.36,-0.02,0.188,-0.12
83,6.86,6.95,2.85,2.86,6.22,1.53,12.23,-0.03,0.175,-0.11
